Date,Precip,Air max,min,RH max,min
20220603,0,74,57,,
20220604,0,70,59,,
20220605,0,75,61,,
20220606,0,76,62,,
20220607,0,70,56,,
20220608,0,71,57,,
20220609,0,72,57,,
20220610,0,71,58,,
20220611,0,70,58,,
20220612,0,70,58,,
20220613,0,74,61,,
20220614,0,76,58,,
20220615,0,74,58,,
20220616,0,76,57,,
20220617,0,74,57,,
20220618,0,73,54,,
20220619,0,78,52,,
20220620,0,72,59,,
20220621,0,72,59,,
20220622,0,73,59,,
20220623,0,74,59,,
20220624,0,74,60,,
20220625,0,74,60,,
20220626,0,76,60,,
20220627,0,77,60,,
20220628,0,75,60,,
20220629,0,76,60,,
20220630,0,81,63,,
20220701,0,75,60,,
20220702,0,78,62,,
20220703,0,73,60,,
20220704,0,74,60,,
20220705,0,76,57,,
20220706,0,76,64,,
20220707,0,77,64,,
20220708,0,78,61,,
20220709,0,79,62,,
20220710,0,76,62,,
20220711,0,76,61,,
20220712,0,76,61,,
20220713,0,75,62,,
20220714,0,76,63,,
20220715,0,75,61,,
20220716,0,76,61,,
20220717,0,77,61,,
20220718,0,77,62,,
20220719,0,77,61,,
20220720,0,76,61,,
20220721,0,75,61,,
20220722,0,79,61,,
20220723,0,78,61,,
20220724,0,79,64,,
20220725,0,78,65,,
20220726,0,80,65,,
20220727,0,80,63,,
20220728,0,81,62,,
20220729,0,80,62,,
20220730,0,82,65,,
20220731,0,83,67,,
20220801,0,85,64,,
20220802,0,82,67,,
20220803,0,82,66,,
20220804,0,84,66,,
20220805,0,87,65,,
20220806,0,77,64,,
20220807,0,76,64,,
20220808,0,77,64,,
20220809,0,89,67,,
20220810,0,78,65,,
20220811,0,88,67,,
20220812,0,82,64,,
20220813,0,87,66,,
20220814,0,86,65,,
20220815,0,83,64,,
20220816,0,83,65,,
20220817,0,86,66,,
20220818,0,79,64,,
20220819,0,80,65,,
20220820,0,79,66,,
20220821,0,78,65,,
20220822,0,81,65,,
20220823,0,81,66,,
20220824,0,83,66,,
20220825,0,85,66,,
20220826,0,82,66,,
20220827,0,79,65,,
20220828,0,80,63,,
20220829,0,80,67,,
20220830,0,79,64,,
20220831,0,78,63,,
20220901,0,79,63,,
20220902,0,79,64,,
20220903,0,99,73,,
20220904,0,91,75,,
20220905,0,91,69,,
20220906,0,81,64,,
20220907,0,81,63,,
20220908,0,94,72,,
20220909,0,88,69,,
20220910,0,80,70,,
20220911,0,88,72,,
20220912,0,83,70,,
20220913,0,82,66,,
20220914,0,78,65,,
20220915,0,77,60,,
20220916,0,78,59,,
20220917,0,77,59,,
20220918,0,76,59,,
20220919,0,78,57,,
20220920,0,80,58,,
20220921,0,79,62,,
20220922,0,81,56,,
20220923,0,85,63,,
20220924,0,80,61,,
20220925,0,78,60,,
20220926,0,76,60,,
20220927,0,77,61,,
20220928,0,80,60,,
20220929,0,80,62,,
20220930,0,77,63,,
20221001,0,74,63,,
20221002,0,75,65,,
20221003,0,75,65,,
20221004,0,77,64,,
20221005,0,76,64,,
20221006,0,74,64,,
20221007,0,77,62,,
20221008,0,79,62,,
20221009,0,78,65,,
20221010,0,75,63,,
20221011,0,74,63,,
20221012,0,75,65,,
20221013,0,69,63,,
20221014,0,68,63,,
20221015,0,70,62,,
20221016,0,73,61,,
20221017,0,75,57,,
20221018,0,75,55,,
20221019,0,96,60,,
20221020,0,91,62,,
20221021,0,78,62,,
20221022,0,71,61,,
20221023,0,69,53,,
20221024,0,75,51,,
20221025,0,78,50,,
20221026,0,73,55,,
20221027,0,72,53,,
20221028,0,74,49,,
20221029,0,72,51,,
20221030,0,80,49,,
20221031,0,73,55,,
20221101,0,69,57,,
20221102,0,65,57,,
20221103,0,62,48,,
20221104,0,70,42,,
20221105,0,72,45,,
20221106,0,69,48,,
20221107,0,68,56,,
20221108,0.06,64,53,,
20221109,0.11,63,47,,
20221110,0,65,43,,
20221111,0,71,41,,
20221112,0,69,45,,
20221113,0,64,48,,
20221114,0,69,43,,
20221115,0,71,43,,
20221116,0,74,43,,
20221117,0,72,41,,
20221118,0,69,42,,
20221119,0,73,39,,
20221120,0,77,42,,
20221121,0,76,45,,
20221122,0,72,44,,
20221123,0,73,44,,
20221124,0,78,42,,
20221125,0,76,47,,
20221126,0,74,44,,
20221127,0,72,42,,
20221128,0,61,51,,
20221129,0,62,45,,
20221130,0,61,44,,
20221201,0,62,52,,
20221202,0,67,50,,
20221203,0,69,47,,
20221204,0,67,44,,
20221205,0,64,49,,
20221206,0,62,46,,
20221207,0,63,44,,
20221208,0,61,40,,
20221209,0,61,40,,
20221210,0,63,39,,
20221211,0.1,57,45,,
20221212,0.02,56,43,,
20221213,0,60,41,,
20221214,0,61,39,,
20221215,0,66,46,,
20221216,0,66,41,,
20221217,0,69,40,,
20221218,0,65,40,,
20221219,0,65,37,,
20221220,0,67,38,,
20221221,0,72,38,,
20221222,0,71,43,,
20221223,0,69,44,,
20221224,0,74,42,,
20221225,0,81,47,,
20221226,0,83,49,,
20221227,0,68,50,,
20221228,0.09,64,51,,
20221229,0,60,49,,
20221230,0,59,51,,
20221231,0,61,55,,
20230101,0.05,57,52,,
20230102,0,58,46,,
20230103,0,58,51,,
20230104,0,69,56,,
20230105,0,59,48,,
20230106,0,61,44,,
20230107,0,69,42,,
20230108,0,69,43,,
20230109,0,68,48,,
20230110,0.07,61,46,,
20230111,0,61,46,,
20230112,0,72,45,,
20230113,0,71,44,,
20230114,0.1,59,46,,
20230115,0.05,59,52,,
20230116,0.12,58,50,,
20230117,0.09,56,43,,
20230118,0,61,41,,
20230119,0,58,38,,
20230120,0,60,41,,
20230121,0,63,37,,
20230122,0,59,38,,
20230123,0,63,35,,
20230124,0,64,36,,
20230125,0,69,38,,
20230126,0,68,50,,
20230127,0,68,41,,
20230128,0,60,41,,
20230129,0,56,47,,
20230130,0.05,57,46,,
20230131,0,61,40,,
20230201,0,66,39,,
20230202,0,70,40,,
20230203,0,70,45,,
20230204,0,71,41,,
20230205,0,62,42,,
20230206,0,64,43,,
20230207,0,70,40,,
20230208,0,73,42,,
20230209,0,80,41,,
20230210,0,75,44,,
20230211,0,61,42,,
20230212,0.11,58,42,,
20230213,0,61,45,,
20230214,0,54,48,,
20230215,0,60,36,,
20230216,0.04,66,49,,
20230217,0,63,39,,
20230218,0,67,40,,
20230219,0,64,38,,
20230220,0,68,40,,
20230221,0,63,42,,
20230222,0.08,55,48,,
20230223,0.14,56,43,,
20230224,0,59,44,,
20230225,0.13,55,40,,
20230226,0,55,40,,
20230227,0,58,40,,
20230228,0.03,59,43,,
20230301,0.17,54,40,,
20230302,0,60,36,,
20230303,0,59,39,,
20230304,0,59,39,,
20230305,0,60,45,,
20230306,0,60,44,,
20230307,0,59,44,,
20230308,0,59,39,,
20230309,0,68,41,,
20230310,0.05,63,46,,
20230311,0,63,57,,
20230312,0,65,55,,
20230313,0,65,53,,
20230314,0.07,65,51,,
20230315,0.06,61,51,,
20230316,0.09,62,46,,
20230317,0.08,63,45,,
20230318,0,77,43,,
20230319,0,65,54,,
20230320,0,62,53,,
20230321,0.11,61,50,,
20230322,0,61,46,,
20230323,0,59,48,,
20230324,0,60,45,,
20230325,0,61,43,,
20230326,0,61,43,,
20230327,0,70,41,,
20230328,0,70,44,,
20230329,0.18,57,44,,
20230330,0.22,59,44,,
20230331,0,62,41,,
20230401,0,66,41,,
20230402,0,64,43,,
20230403,0,59,48,,
20230404,0,58,38,,
20230405,0,66,40,,
20230406,0,70,39,,
20230407,0,67,44,,
20230408,0,71,43,,
20230409,0,64,51,,
20230410,0,71,51,,
20230411,0,70,52,,
20230412,0,58,52,,
20230413,0,59,50,,
20230414,0,62,45,,
20230415,0,64,50,,
20230416,0,58,52,,
20230417,0,59,52,,
20230418,0,63,49,,
20230419,0,65,46,,
20230420,0,73,44,,
20230421,0,85,49,,
20230422,0,82,51,,
20230423,0,69,55,,
20230424,0,67,55,,
20230425,0,66,56,,
20230426,0,69,57,,
20230427,0,69,54,,
20230428,0,70,52,,
20230429,0,72,55,,
20230430,0,65,53,,
20230501,0,63,53,,
20230502,0,64,47,,
20230503,0,71,55,,
20230504,0,65,50,,
20230505,0,66,50,,
20230506,0,66,45,,
20230507,0,69,46,,
20230508,0,69,52,,
20230509,0,67,55,,
20230510,0,66,51,,
20230511,0,67,54,,
20230512,0,68,56,,
20230513,0,70,57,,
20230514,0,69,57,,
20230515,0,70,58,,
20230516,0,72,58,,
20230517,0,66,55,,
20230518,0,72,54,,
20230519,0,68,58,,
20230520,0,69,59,,
20230521,0,73,59,,
20230522,0,64,57,,
20230523,0,62,57,,
20230524,0.04,65,57,,
20230525,0,66,58,75,60
20230526,0,67,58,84,58
20230527,0,67,58,90,65
20230528,0.06,67,58,91,69
20230529,0,63,57,91,73
20230530,0.01,64,58,81,67
20230531,0.02,64,55,84,63
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0, 0);,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
&quot;isActive&quot;:true,,,,,
